Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125
================================================================================
Training started at 20260115-195525
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   34 |OrigR: -50.0 ShpR:  34.5 |X:   42.0( 803.0) AvgX100: 274.6 |AvgR: 448.5( 587.4) 20 |Ls: 0.0631 |Eps: 0.9184 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   35 |OrigR: -14.0 ShpR: 256.1 |X:  210.0( 803.0) AvgX100: 272.7 |AvgR: 443.0( 587.4) 21 |Ls: 0.0653 |Eps: 0.9161 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   36 |OrigR: 191.0 ShpR: 507.1 |X:  262.0( 803.0) AvgX100: 272.4 |AvgR: 444.7( 587.4) 22 |Ls: 0.0589 |Eps: 0.9138 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   37 |OrigR: 244.0 ShpR: 715.4 |X:  522.0( 803.0) AvgX100: 279.2 |AvgR: 452.1( 587.4) 23 |Ls: 0.0666 |Eps: 0.9115 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   38 |OrigR: -27.0 ShpR: 204.8 |X:  145.0( 803.0) AvgX100: 275.7 |AvgR: 445.6( 587.4) 24 |Ls: 0.0752 |Eps: 0.9093 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   39 |OrigR:  21.0 ShpR: 148.6 |X:   89.0( 803.0) AvgX100: 270.9 |AvgR: 437.9( 587.4) 25 |Ls: 0.0713 |Eps: 0.9070 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   40 |OrigR: 606.0 ShpR:1309.1 |X:  811.0( 811.0) AvgX100: 284.4 |AvgR: 459.7( 587.4) 26 |Ls: 0.0896 |Eps: 0.9047 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   41 |OrigR: -51.0 ShpR:  30.4 |X:   40.0( 811.0) AvgX100: 278.4 |AvgR: 449.2( 587.4) 27 |Ls: 0.0894 |Eps: 0.9025 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   42 |OrigR: -19.0 ShpR:  83.6 |X:   62.0( 811.0) AvgX100: 273.3 |AvgR: 440.5( 587.4) 28 |Ls: 0.0943 |Eps: 0.9002 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   43 |OrigR:  42.0 ShpR: 192.7 |X:  108.0( 811.0) AvgX100: 269.4 |AvgR: 434.8( 587.4) 29 |Ls: 0.1181 |Eps: 0.8980 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
