Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 5413 --gamma 0.91 --lr 0.000125 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260114-110731
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 5413
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.000125
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep   35 |OrigR: 126.0 ShpR: 373.1 |X:  186.0( 261.0) AvgX100: 192.8 |AvgR: 385.9( 390.0) 13 |Ls: 0.0038 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   36 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.6 |AvgR: 385.5( 390.0) 14 |Ls: 0.0043 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   37 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.4 |AvgR: 385.1( 390.0) 15 |Ls: 0.0041 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   38 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.2 |AvgR: 384.6( 390.0) 16 |Ls: 0.0044 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   39 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 192.0 |AvgR: 384.1( 390.0) 17 |Ls: 0.0039 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   40 |OrigR: 197.0 ShpR: 523.7 |X:  261.0( 261.0) AvgX100: 193.7 |AvgR: 387.6( 390.0) 18 |Ls: 0.0038 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   41 |OrigR: 127.0 ShpR: 376.7 |X:  188.0( 261.0) AvgX100: 193.6 |AvgR: 387.4( 390.0) 19 |Ls: 0.0037 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   42 |OrigR: 126.0 ShpR: 372.1 |X:  186.0( 261.0) AvgX100: 193.4 |AvgR: 387.0( 390.0) 20 |Ls: 0.0081 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   43 |OrigR: 126.0 ShpR: 374.1 |X:  187.0( 261.0) AvgX100: 193.2 |AvgR: 386.7( 390.0) 21 |Ls: 0.0037 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   44 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 193.0 |AvgR: 386.3( 390.0) 22 |Ls: 0.0034 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   45 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.9 |AvgR: 386.0( 390.0) 23 |Ls: 0.0030 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   46 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.7 |AvgR: 385.6( 390.0) 24 |Ls: 0.0031 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   47 |OrigR: 121.0 ShpR: 365.1 |X:  183.0( 261.0) AvgX100: 192.5 |AvgR: 385.2( 390.0) 25 |Ls: 0.0027 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   48 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 261.0) AvgX100: 192.3 |AvgR: 384.8( 390.0) 26 |Ls: 0.0026 |Eps: 0.0150 |LR: 1.25e-04 |Gm: 0.910 |Fl: . (0/100) 0
