Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.91 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final_93_25.pt
================================================================================
Training started at 20260113-041927
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Resuming from checkpoint: checkpoints/qrd3qn_w51_final_93_25.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.91->0.91, Epsilon 1.0->0.015
================================================================================
Ep    1 |OrigR: -31.0 ShpR:  35.9 |X:   40.0(  40.0) AvgX100:  40.0 |AvgR:  35.9(  35.9)  0 |Ls: 0.0368 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   58 |OrigR: 204.0 ShpR: 539.9 |X:  270.0( 275.0) AvgX100: 177.9 |AvgR: 351.9( 351.9)  0 |Ls: 0.0115 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   59 |OrigR: 115.0 ShpR: 354.0 |X:  178.0( 275.0) AvgX100: 177.9 |AvgR: 352.0( 352.0)  0 |Ls: 0.0112 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   60 |OrigR: 133.0 ShpR: 392.8 |X:  195.0( 275.0) AvgX100: 178.2 |AvgR: 352.7( 352.7)  0 |Ls: 0.0100 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   61 |OrigR: 133.0 ShpR: 392.8 |X:  195.0( 275.0) AvgX100: 178.5 |AvgR: 353.3( 353.3)  0 |Ls: 0.0129 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   62 |OrigR: 133.0 ShpR: 392.8 |X:  195.0( 275.0) AvgX100: 178.7 |AvgR: 353.9( 353.9)  0 |Ls: 0.0145 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   63 |OrigR: 134.0 ShpR: 394.4 |X:  196.0( 275.0) AvgX100: 179.0 |AvgR: 354.6( 354.6)  0 |Ls: 0.0151 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   64 |OrigR: 128.0 ShpR: 381.8 |X:  190.0( 275.0) AvgX100: 179.2 |AvgR: 355.0( 355.0)  0 |Ls: 0.0154 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   65 |OrigR: 123.0 ShpR: 369.8 |X:  185.0( 275.0) AvgX100: 179.3 |AvgR: 355.2( 355.2)  0 |Ls: 0.0143 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   66 |OrigR: 205.0 ShpR: 539.5 |X:  276.0( 276.0) AvgX100: 180.7 |AvgR: 358.0( 358.0)  0 |Ls: 0.0173 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
Ep   67 |OrigR: 117.0 ShpR: 358.7 |X:  180.0( 276.0) AvgX100: 180.7 |AvgR: 358.0( 358.0)  0 |Ls: 0.0185 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.910 |Fl: . (0/100) 0
