Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 22 --gamma 0.99 --lr 0.00025
================================================================================
Training started at 20260118-092144
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 22
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   34 |OrigR: 291.0 ShpR: 721.6 |X:  417.0( 805.0) AvgX100: 265.7 |AvgR: 414.4( 414.4)  0 |Ls: 0.2401 |Eps: 0.9184 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   35 |OrigR:  78.0 ShpR: 329.3 |X:  196.0( 805.0) AvgX100: 263.7 |AvgR: 411.9( 414.4)  1 |Ls: 0.2210 |Eps: 0.9161 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   36 |OrigR: 116.0 ShpR: 355.6 |X:  212.0( 805.0) AvgX100: 262.3 |AvgR: 410.4( 414.4)  2 |Ls: 0.2855 |Eps: 0.9138 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   37 |OrigR: -23.0 ShpR:  58.2 |X:   50.0( 805.0) AvgX100: 256.5 |AvgR: 400.8( 414.4)  3 |Ls: 0.2975 |Eps: 0.9115 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   38 |OrigR:  12.0 ShpR: 128.2 |X:   80.0( 805.0) AvgX100: 251.9 |AvgR: 393.7( 414.4)  4 |Ls: 0.2932 |Eps: 0.9093 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   39 |OrigR: 100.0 ShpR: 297.0 |X:  207.0( 805.0) AvgX100: 250.7 |AvgR: 391.2( 414.4)  5 |Ls: 0.3106 |Eps: 0.9070 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   40 |OrigR: 105.0 ShpR: 440.0 |X:  241.0( 805.0) AvgX100: 250.5 |AvgR: 392.4( 414.4)  6 |Ls: 0.4036 |Eps: 0.9047 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   41 |OrigR: -29.0 ShpR:  70.6 |X:   57.0( 805.0) AvgX100: 245.8 |AvgR: 384.6( 414.4)  7 |Ls: 0.3793 |Eps: 0.9025 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   42 |OrigR: 253.0 ShpR: 662.8 |X:  695.0( 805.0) AvgX100: 256.5 |AvgR: 391.2( 414.4)  8 |Ls: 0.5391 |Eps: 0.9002 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   43 |OrigR: -17.0 ShpR:  68.3 |X:   54.0( 805.0) AvgX100: 251.8 |AvgR: 383.7( 414.4)  9 |Ls: 0.6386 |Eps: 0.8980 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
