Command line: train.py --algorithm qrd3qn --world 5 --stage 1 --episodes 20000 --seed 222 --gamma 0.97 --lr 0.00025 --model_path checkpoints/qrd3qn_w51_final.pt
================================================================================
Training started at 20260113-195028
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 222
Resuming from checkpoint: checkpoints/qrd3qn_w51_final.pt
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.97->0.97, Epsilon 1.0->0.015
================================================================================
Ep   36 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 456.0) AvgX100: 132.7 |AvgR: 236.5( 236.5)  0 |Ls: 0.0358 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   37 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 456.0) AvgX100: 134.4 |AvgR: 240.8( 240.8)  0 |Ls: 0.0336 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   38 |OrigR: 113.0 ShpR: 349.8 |X:  176.0( 456.0) AvgX100: 135.5 |AvgR: 243.7( 243.7)  0 |Ls: 0.0333 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   39 |OrigR: 112.0 ShpR: 347.2 |X:  175.0( 456.0) AvgX100: 136.5 |AvgR: 246.3( 246.3)  0 |Ls: 0.0370 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   40 |OrigR: 122.0 ShpR: 367.7 |X:  184.0( 456.0) AvgX100: 137.7 |AvgR: 249.4( 249.4)  0 |Ls: 0.0556 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   41 |OrigR: 113.0 ShpR: 349.3 |X:  176.0( 456.0) AvgX100: 138.6 |AvgR: 251.8( 251.8)  0 |Ls: 0.0366 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   42 |OrigR: 126.0 ShpR: 376.6 |X:  188.0( 456.0) AvgX100: 139.8 |AvgR: 254.8( 254.8)  0 |Ls: 0.0416 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   43 |OrigR: 121.0 ShpR: 366.6 |X:  184.0( 456.0) AvgX100: 140.8 |AvgR: 257.4( 257.4)  0 |Ls: 0.0385 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   44 |OrigR: 131.0 ShpR: 387.6 |X:  193.0( 456.0) AvgX100: 142.0 |AvgR: 260.3( 260.3)  0 |Ls: 0.0364 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   45 |OrigR: 121.0 ShpR: 365.6 |X:  183.0( 456.0) AvgX100: 142.9 |AvgR: 262.7( 262.7)  0 |Ls: 0.0360 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   46 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 145.8 |AvgR: 269.0( 269.0)  0 |Ls: 0.0343 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   47 |OrigR: 390.0 ShpR: 930.0 |X:  456.0( 456.0) AvgX100: 152.4 |AvgR: 283.1( 283.1)  0 |Ls: 0.0408 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   48 |OrigR: 136.0 ShpR: 395.1 |X:  196.0( 456.0) AvgX100: 153.3 |AvgR: 285.4( 285.4)  0 |Ls: 0.0333 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   49 |OrigR: 133.0 ShpR: 390.3 |X:  194.0( 456.0) AvgX100: 154.1 |AvgR: 287.6( 287.6)  0 |Ls: 0.0348 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   50 |OrigR: 210.0 ShpR: 551.0 |X:  275.0( 456.0) AvgX100: 156.5 |AvgR: 292.8( 292.8)  0 |Ls: 0.0347 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   51 |OrigR: 136.0 ShpR: 395.1 |X:  196.0( 456.0) AvgX100: 157.3 |AvgR: 294.9( 294.9)  0 |Ls: 0.0380 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   52 |OrigR: 390.0 ShpR: 930.0 |X:  456.0( 456.0) AvgX100: 163.1 |AvgR: 307.1( 307.1)  0 |Ls: 0.0316 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   53 |OrigR: 207.0 ShpR: 545.7 |X:  271.0( 456.0) AvgX100: 165.1 |AvgR: 311.6( 311.6)  0 |Ls: 0.0321 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   54 |OrigR: 128.0 ShpR: 380.8 |X:  190.0( 456.0) AvgX100: 165.6 |AvgR: 312.8( 312.8)  0 |Ls: 0.0344 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   55 |OrigR: 209.0 ShpR: 550.4 |X:  273.0( 456.0) AvgX100: 167.5 |AvgR: 317.2( 317.2)  0 |Ls: 0.0298 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   56 |OrigR: 134.0 ShpR: 395.4 |X:  196.0( 456.0) AvgX100: 168.0 |AvgR: 318.6( 318.6)  0 |Ls: 0.0345 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   57 |OrigR: 134.0 ShpR: 394.9 |X:  196.0( 456.0) AvgX100: 168.5 |AvgR: 319.9( 319.9)  0 |Ls: 0.0331 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   58 |OrigR: 116.0 ShpR: 356.1 |X:  179.0( 456.0) AvgX100: 168.7 |AvgR: 320.5( 320.5)  0 |Ls: 0.0409 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   59 |OrigR: 209.0 ShpR: 550.9 |X:  274.0( 456.0) AvgX100: 170.5 |AvgR: 324.4( 324.4)  0 |Ls: 0.0402 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   60 |OrigR: 136.0 ShpR: 395.1 |X:  196.0( 456.0) AvgX100: 170.9 |AvgR: 325.6( 325.6)  0 |Ls: 0.0357 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   61 |OrigR: 134.0 ShpR: 393.4 |X:  195.0( 456.0) AvgX100: 171.3 |AvgR: 326.7( 326.7)  0 |Ls: 0.0299 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   62 |OrigR: 115.0 ShpR: 354.0 |X:  178.0( 456.0) AvgX100: 171.4 |AvgR: 327.2( 327.2)  0 |Ls: 0.0302 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   63 |OrigR: 211.0 ShpR: 555.6 |X:  274.0( 456.0) AvgX100: 173.0 |AvgR: 330.8( 330.8)  0 |Ls: 0.0335 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   64 |OrigR: 128.0 ShpR: 380.8 |X:  190.0( 456.0) AvgX100: 173.3 |AvgR: 331.6( 331.6)  0 |Ls: 0.0290 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
Ep   65 |OrigR: 136.0 ShpR: 397.6 |X:  197.0( 456.0) AvgX100: 173.7 |AvgR: 332.6( 332.6)  0 |Ls: 0.0286 |Eps: 0.0150 |LR: 2.50e-04 |Gm: 0.970 |Fl: . (0/100) 0
