================================================================================
Training started at 20251219-102853
Algorithm: QRD3QN
Environment: SuperMarioBros-5-1-v0
Random Seed: 42
Starting training from scratch (no resume)
Total episodes: 20000
Batch size: 64, Learning rate: 0.00025
Memory size: 200000, Target update freq: 500
Quantiles: 51, Kappa: 1.0
Config: Gamma 0.99->0.99, Epsilon 1.0->0.015
================================================================================
Ep   36 |OrigR:  95.0 ShpR: 342.0 |X:  236.0( 707.0) AvgX100: 186.4 |AvgR: 289.6( 403.0) 26 |Ls: 0.3783 |Eps: 0.9138 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   37 |OrigR:  65.0 ShpR: 238.0 |X:  196.0( 707.0) AvgX100: 186.6 |AvgR: 288.2( 403.0) 27 |Ls: 0.4184 |Eps: 0.9115 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   38 |OrigR: 354.0 ShpR: 845.4 |X:  429.0( 707.0) AvgX100: 193.0 |AvgR: 302.9( 403.0) 28 |Ls: 0.4374 |Eps: 0.9093 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   39 |OrigR: 208.0 ShpR: 628.8 |X:  349.0( 707.0) AvgX100: 197.0 |AvgR: 311.3( 403.0) 29 |Ls: 0.4218 |Eps: 0.9070 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   40 |OrigR: -72.0 ShpR:  70.3 |X:   63.0( 707.0) AvgX100: 193.7 |AvgR: 305.2( 403.0) 30 |Ls: 0.4751 |Eps: 0.9047 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   41 |OrigR: -65.0 ShpR:  24.0 |X:   39.0( 707.0) AvgX100: 189.9 |AvgR: 298.4( 403.0) 31 |Ls: 0.5108 |Eps: 0.9025 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   42 |OrigR: 331.0 ShpR: 778.1 |X:  443.0( 707.0) AvgX100: 195.9 |AvgR: 309.8( 403.0) 32 |Ls: 0.4953 |Eps: 0.9002 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   43 |OrigR:  28.0 ShpR: 325.8 |X:  223.0( 707.0) AvgX100: 196.6 |AvgR: 310.2( 403.0) 33 |Ls: 0.3578 |Eps: 0.8980 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   44 |OrigR: 358.0 ShpR: 845.8 |X:  447.0( 707.0) AvgX100: 202.2 |AvgR: 322.3( 403.0) 34 |Ls: 0.3336 |Eps: 0.8957 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   45 |OrigR: -27.0 ShpR:  87.3 |X:   65.0( 707.0) AvgX100: 199.2 |AvgR: 317.1( 403.0) 35 |Ls: 0.4008 |Eps: 0.8935 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   46 |OrigR: 242.0 ShpR: 690.7 |X:  495.0( 707.0) AvgX100: 205.6 |AvgR: 325.2( 403.0) 36 |Ls: 0.5185 |Eps: 0.8912 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   47 |OrigR:  11.0 ShpR: 130.1 |X:   81.0( 707.0) AvgX100: 203.0 |AvgR: 321.1( 403.0) 37 |Ls: 0.4596 |Eps: 0.8890 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
Ep   48 |OrigR: 338.0 ShpR: 804.8 |X:  432.0( 707.0) AvgX100: 207.8 |AvgR: 331.2( 403.0) 38 |Ls: 0.5051 |Eps: 0.8868 |LR: 2.50e-04 |Gm: 0.990 |Fl: . (0/100) 0
